Timestamp,Interface,Upload_Mbps,Download_Mbps,Packets_Sent,Packets_Received
2026-08-26 13:54:30,Wi-Fi,0.00,0.00,1,0
2026-08-26 13:54:31,Wi-Fi,0.00,0.00,1,1
2026-08-26 13:54:32,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:54:33,Wi-Fi,0.00,0.00,2,1
2026-08-26 13:54:34,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:54:35,Wi-Fi,0.01,0.02,8,8
2026-08-26 13:54:36,Wi-Fi,0.00,0.00,1,3
2026-08-26 13:54:37,Wi-Fi,0.16,0.02,46,26
2026-08-26 13:54:38,Wi-Fi,0.12,0.08,21,45
2026-08-26 13:54:39,Wi-Fi,0.00,0.02,3,5
2026-08-26 13:54:40,Wi-Fi,0.07,0.04,13,12
2026-08-26 13:54:41,Wi-Fi,0.00,0.00,2,3
2026-08-26 13:54:42,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:54:43,Wi-Fi,0.00,0.00,1,0
2026-08-26 13:54:44,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:54:45,Wi-Fi,0.00,0.00,1,0
2026-08-26 13:54:46,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:54:47,Wi-Fi,0.01,0.00,3,0
2026-08-26 13:54:48,Wi-Fi,0.00,0.00,2,4
2026-08-26 13:54:49,Wi-Fi,0.00,0.00,1,0
2026-08-26 13:54:50,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:54:51,Wi-Fi,0.00,0.00,1,0
2026-08-26 13:54:52,Wi-Fi,0.06,0.00,7,0
2026-08-26 13:54:53,Wi-Fi,0.03,0.08,9,17
2026-08-26 13:54:54,Wi-Fi,0.09,0.09,28,25
2026-08-26 13:54:55,Wi-Fi,0.08,8.26,126,801
2026-08-26 13:54:56,Wi-Fi,0.09,13.26,146,1286
2026-08-26 13:54:57,Wi-Fi,0.09,13.78,154,1334
2026-08-26 13:54:58,Wi-Fi,0.07,5.56,80,544
2026-08-26 13:54:59,Wi-Fi,0.04,4.11,61,400
2026-08-26 13:55:00,Wi-Fi,0.05,6.45,75,624
2026-08-26 13:55:01,Wi-Fi,0.05,7.15,87,692
2026-08-26 13:55:02,Wi-Fi,0.05,3.08,46,299
2026-08-26 13:55:03,Wi-Fi,0.03,3.74,52,365
2026-08-26 13:55:04,Wi-Fi,0.04,4.88,73,472
2026-08-26 13:55:05,Wi-Fi,0.03,3.34,48,325
2026-08-26 13:55:06,Wi-Fi,0.03,3.67,50,359
2026-08-26 13:55:07,Wi-Fi,0.11,2.82,55,279
2026-08-26 13:55:08,Wi-Fi,0.05,3.33,61,342
2026-08-26 13:55:09,Wi-Fi,0.05,5.61,82,545
2026-08-26 13:55:10,Wi-Fi,0.12,7.60,103,743
2026-08-26 13:55:11,Wi-Fi,0.12,7.01,90,683
2026-08-26 13:55:12,Wi-Fi,0.03,3.32,44,328
2026-08-26 13:55:13,Wi-Fi,0.00,0.00,1,0
2026-08-26 13:55:14,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:55:15,Wi-Fi,0.00,0.00,2,0
2026-08-26 13:55:16,Wi-Fi,0.02,0.01,4,5
2026-08-26 13:55:17,Wi-Fi,0.01,0.00,6,7
2026-08-26 13:55:18,Wi-Fi,0.00,0.00,1,1
2026-08-26 13:55:19,Wi-Fi,0.00,0.00,2,1
2026-08-26 13:55:20,Wi-Fi,0.00,0.00,0,0
2026-08-26 13:55:21,Wi-Fi,0.00,0.00,1,0
2026-08-26 14:11:44,Wi-Fi,0.00,0.00,1,0
2026-08-26 14:11:45,Wi-Fi,0.00,0.00,1,1
2026-08-26 14:11:46,Wi-Fi,0.00,0.00,4,2
2026-08-26 14:11:47,Wi-Fi,0.19,0.02,32,27
2026-08-26 14:11:48,Wi-Fi,0.08,0.46,59,86
2026-08-26 14:11:49,Wi-Fi,0.15,1.59,118,215
2026-08-26 14:11:50,Wi-Fi,0.45,1.98,165,257
2026-08-26 14:11:51,Wi-Fi,0.25,6.16,151,659
